[INFO ][memory ][Mon Oct 15 08:57:19 2018][1539586639286][31471] [OC#11100] 1529588.295-1529588.844: OC 16235121KB->4376151KB (25165824KB), 0.549 s, sum of pauses 501.848 ms, longest pause 501.848 ms.
[INFO ][memory ][Mon Oct 15 08:57:19 2018][1539586639799][22283] [OC#11055] 1529587.671-1529588.349: OC 16422167KB->4065504KB (25165824KB), 0.677 s, sum of pauses 634.651 ms, longest pause 634.651 ms.
[INFO ][memory ][Mon Oct 15 08:55:05 2018][1539586505112][39702] [OC#12477] 1529453.765-1529454.211: OC 16095750KB->4322378KB (25165824KB), 0.446 s, sum of pauses 403.221 ms, longest pause 403.221 ms.
[INFO ][memory ][Mon Oct 15 08:54:09 2018][1539586449676][31471] [YC#26876] 1529398.720-1529398.927: YC 15578977KB->7866653KB (25165824KB), 0.207 s, sum of pauses 204.601 ms, longest pause 204.601 ms.
[INFO ][memory ][Mon Oct 15 08:53:13 2018][1539586393825][22283] [YC#25588] 1529342.069-1529342.225: YC 15524357KB->7658509KB (25165824KB), 0.156 s, sum of pauses 154.099 ms, longest pause 154.099 ms.
[INFO ][memory ][Mon Oct 15 08:52:45 2018][1539586365050][39702] [YC#25435] 1529314.378-1529314.534: YC 15665143KB->7925497KB (25165824KB), 0.156 s, sum of pauses 152.556 ms, longest pause 152.556 ms.
[INFO ][memory ][Mon Oct 15 08:52:15 2018][1539586335437][31471] [OC#11099] 1529280.850-1529285.002: OC 9818030KB->4349991KB (25165824KB), 4.152 s, sum of pauses 4104.703 ms, longest pause 4104.703 ms.
[INFO ][memory ][Mon Oct 15 08:52:10 2018][1539586330787][22283] [OC#11054] 1529278.842-1529279.360: OC 13999119KB->4082964KB (25165824KB), 0.518 s, sum of pauses 476.077 ms, longest pause 476.077 ms.
[INFO ][memory ][Mon Oct 15 08:51:53 2018][1539586313981][39702] [OC#12476] 1529262.269-1529262.778: OC 11268663KB->4341090KB (25165824KB), 0.509 s, sum of pauses 462.401 ms, longest pause 462.401 ms.
[INFO ][memory ][Mon Oct 15 08:51:51 2018][1539586311134][31471] [OC#11098] 1529259.384-1529259.938: OC 16421185KB->4400360KB (25165824KB), 0.554 s, sum of pauses 506.701 ms, longest pause 506.701 ms.
[INFO ][memory ][Mon Oct 15 08:50:25 2018][1539586225948][22283] [OC#11053] 1529173.523-1529173.982: OC 15461786KB->3995653KB (25165824KB), 0.459 s, sum of pauses 418.083 ms, longest pause 418.083 ms.
[INFO ][memory ][Mon Oct 15 08:49:54 2018][1539586194114][39702] [OC#12475] 1529139.371-1529143.240: OC 15101378KB->4286229KB (25165824KB), 3.870 s, sum of pauses 3828.298 ms, longest pause 3828.298 ms.
[INFO ][memory ][Mon Oct 15 08:49:11 2018][1539586151392][31471] [YC#26875] 1529100.422-1529100.635: YC 16453294KB->8728227KB (25165824KB), 0.213 s, sum of pauses 211.554 ms, longest pause 211.554 ms.
[INFO ][memory ][Mon Oct 15 08:48:17 2018][1539586097382][39702] [YC#25434] 1529046.629-1529046.775: YC 16494445KB->8741642KB (25165824KB), 0.146 s, sum of pauses 143.965 ms, longest pause 143.965 ms.
[INFO ][memory ][Mon Oct 15 08:48:12 2018][1539586092648][22283] [YC#25587] 1529040.888-1529041.048: YC 15394638KB->7535518KB (25165824KB), 0.160 s, sum of pauses 157.905 ms, longest pause 157.905 ms.
[INFO ][memory ][Mon Oct 15 08:47:57 2018][1539586077383][31471] [YC#26874] 1529026.656-1529026.830: YC 15614561KB->7905828KB (25165824KB), 0.174 s, sum of pauses 171.647 ms, longest pause 171.647 ms.
[INFO ][memory ][Mon Oct 15 08:47:43 2018][1539586063449][39702] [YC#25433] 1529012.769-1529012.935: YC 15626264KB->7886968KB (25165824KB), 0.166 s, sum of pauses 164.353 ms, longest pause 164.353 ms.
[INFO ][memory ][Mon Oct 15 08:47:26 2018][1539586046924][22283] [OC#11052] 1528991.844-1528995.450: OC 10640107KB->3955171KB (25165824KB), 3.606 s, sum of pauses 3566.298 ms, longest pause 3566.298 ms.
[INFO ][memory ][Mon Oct 15 08:47:13 2018][1539586033167][22283] [YC#25586] 1528981.592-1528981.731: YC 16093378KB->8245708KB (25165824KB), 0.139 s, sum of pauses 137.373 ms, longest pause 137.373 ms.
[INFO ][memory ][Mon Oct 15 08:47:07 2018][1539586027126][31471] [OC#11097] 1528976.150-1528976.711: OC 18312844KB->4380520KB (25165824KB), 0.561 s, sum of pauses 515.301 ms, longest pause 515.301 ms.
[INFO ][memory ][Mon Oct 15 08:46:56 2018][1539586016614][39702] [OC#12474] 1528965.711-1528966.229: OC 18910709KB->4381577KB (25165824KB), 0.518 s, sum of pauses 477.426 ms, longest pause 477.426 ms.
[INFO ][memory ][Mon Oct 15 08:46:30 2018][1539585990386][22283] [YC#25585] 1528938.123-1528938.239: YC 15358279KB->7521244KB (25165824KB), 0.116 s, sum of pauses 114.644 ms, longest pause 114.644 ms.
